YEAR,SSP1_v9_130219,SSP2_v9_130219,SSP3_v9_130219,SSP4_v9_130219,SSP5_v9_130219
2015,82830.52334853366,82797.46371461322,81494.46554054377,82505.8294,83040.53848578664
2020,104319.15108092844,103464.39992273839,99123.94737,101708.5983725566,105558.49780449852
2025,129263.45352280527,126548.53323158417,116703.94351080008,120784.41244958865,133149.63436940854
2030,154454.8441810907,149173.74778553942,132634.1068662079,137343.42585292115,163188.25848488318
2035,178503.89980590183,170456.15180622775,146733.54561896843,151280.0152600534,194365.44742977593
2040,201210.0328068808,190177.37024878507,159055.05782015214,162925.32817655095,226469.1519
2045,223099.0542,208959.5524664521,169878.6865914582,172671.26661033253,259954.95306175126
2050,244277.18840289747,227261.71277290126,179343.08270087012,180756.02667648703,294808.3314
2055,264617.91809238296,245362.1265454584,187829.5279979323,187685.91044043182,330909.14337364567
2060,283875.78108551103,263304.8937012873,195589.39571493168,193733.00769249556,368790.6450096239
2065,301990.5743977961,280993.64198119455,202961.67611715078,199132.61752775035,408682.42621378077
2070,319258.3327674101,298401.91449011926,210186.15827877127,204039.83163991835,450492.19153793575
2075,335793.4694247153,315476.3282657662,217460.8516197899,208522.93415148224,493669.00418632413
2080,351521.4296349019,332276.7235,224847.17040228978,212630.71504995515,537805.2780428457
2085,366160.1326523835,348976.2982693826,232458.64753131007,216443.14725726136,582708.7522481526
2090,379242.8534508453,365633.6166787437,240478.73890067285,220081.67413736685,627954.2329195222
2095,390374.49436747265,382179.82397105184,249023.86258284465,223630.96464066894,673169.5849497673
2100,399566.71346519113,398542.16324272176,258159.0383878826,227093.16589148974,718410.3937016467
