"year","gear_type","tonnes","landed_value"
1955,"unknown by source",105.24892966,120577.1979
1955,"unknown class",41807.0427314026,87114467.0663576
1956,"artisanal fishing gear",72.4500471779,539084.621864714
1956,"bagnets",1423.9092025208,2653240.70333327
1956,"bottom trawl",439806.37318179,601300493.762985
1956,"cast nets",53.39004636,543787.273527713
1956,"dredge",484314.604198781,3187397217.38265
1956,"gillnet",17698.978867639,30487556.6677199
1956,"hand lines",2539.5645569471,5170369.12594805
1956,"hand or tools",190159.866546765,1336829663.47675
1956,"harpoon",332.866221241,1635837.09573227
1956,"lines",9665.5015163601,13630964.0385177
1956,"longline",4258.1452855174,5175570.547558
1956,"mixed gear",12321.0351941,0
1956,"other industrial",106.3602303967,122897.738289864
1956,"other nets",3761.4974225672,11396058.0426852
1956,"pole and line",973.1159159126,1526801.76393005
1956,"pots or traps",111480.081070663,184947193.101931
1956,"purse seine",786770.754294654,28685897.3463978
1956,"shrimp trawl",51386.193138399,0
1956,"small scale lines",13.4182251378,3.12373181597428
1956,"small scale trammel net",48.7927900603,84102.2240417825
1956,"trammel nets",189.7942325994,1491660.90815151
1956,"unknown by source",210.49785932,147441.13396
1956,"unknown class",45383.9515889162,82980228.1675608
1957,"artisanal fishing gear",379.2422853866,2638582.14171145
1957,"bagnets",2145.9845748799,5062434.95890731
1957,"bottom trawl",464082.699670492,715416493.498106
1957,"cast nets",44.8647847201,807760.956910671
1957,"dredge",497429.949588194,3043961744.36841
1957,"gillnet",17998.0036426442,29506891.0352386
1957,"hand lines",2381.8183667893,5784090.58686889
1957,"hand or tools",169016.610347864,1167456895.15942
1957,"harpoon",496.1797528801,2309176.29586183
1957,"lines",12465.6542388963,17174079.0886342
1957,"longline",4818.2648046007,6380995.55168245
1957,"mixed gear",22110.8830298,0
1957,"other industrial",184.719032965,164091.586012622
1957,"other nets",4229.9900622045,17318818.6026026
1957,"pole and line",1281.7690239258,1855179.62540647
1957,"pots or traps",115735.711819206,182415263.341853
1957,"purse seine",698965.311151813,34962819.2631034
1957,"shrimp trawl",57191.467672425,0
1957,"small scale lines",20.0510811188,4.86091459985634
1957,"small scale trammel net",88.8109235591,137179.570148372
1957,"trammel nets",256.0912393204,1836774.34951285
1957,"unknown by source",210.9910191733,289834.3631414
1957,"unknown class",49763.6684607718,89084885.250789
1958,"artisanal fishing gear",732.4828742371,4341825.64697611
1958,"bagnets",1480.8712860931,4567932.2253365
1958,"bottom trawl",448668.307222753,702238515.840163
1958,"cast nets",46.8174982801,849807.58793052
1958,"dredge",452899.147742997,2898758970.0165
1958,"gillnet",22789.18025395,35121208.62606
1958,"hand lines",2191.1986220367,4491632.95101348
1958,"hand or tools",173889.5501206,1321293451.64286
1958,"harpoon",879.483136561,3975430.46256232
1958,"lines",12202.3530102733,15298840.2429442
1958,"longline",4941.1119399469,7307493.33228181
1958,"mixed gear",17583.1803515,0
1958,"other industrial",201.9057904169,203759.203196643
1958,"other nets",3016.2228060728,9457782.94640063
1958,"pole and line",947.1958950203,1388188.26071163
1958,"pots or traps",101008.475059536,185888953.324164
1958,"purse seine",615080.257664334,32901416.8581316
1958,"shrimp trawl",44932.379567954,0
1958,"small scale lines",13.4761289376,3.64874441070714
1958,"small scale trammel net",40.9692929479,60182.9669739359
1958,"trammel nets",49.7703821998,291437.730877384
1958,"unknown by source",526.2446483,793896.1715
1958,"unknown class",52382.5572605093,89199574.7027699
1959,"artisanal fishing gear",732.1609700064,3920182.58882013
1959,"bagnets",1027.2702140401,2499585.73858472
1959,"bottom trawl",437739.694663429,718512766.7948
1959,"cast nets",70.8215869198,1257773.41240462
1959,"dredge",477945.537305164,2863985553.89702
1959,"gillnet",18521.590176522,29090958.4076698
1959,"hand lines",2052.5630122078,4353599.72917364
1959,"hand or tools",166242.845266319,1262350926.66265
1959,"harpoon",883.198055041,3339594.9855443
1959,"lines",10244.309990582,14213598.65217
1959,"longline",6946.9020354286,9967336.1034822
1959,"mixed gear",16925.7572047,1307551.42323
1959,"other industrial",330.3633505491,232994.413747185
1959,"other nets",1910.645131068,16790621.2110806
1959,"pole and line",1188.6066186684,1576699.88074507
1959,"pots or traps",99395.9596676498,197591968.301545
1959,"purse seine",745434.702268036,33840660.9331007
1959,"shrimp trawl",52124.402207217,0
1959,"small scale lines",12.1997442699,3.63666595689212
1959,"small scale trammel net",70.6395328241,119991.195175568
1959,"trammel nets",106.6372112399,515772.247112449
1959,"unknown by source",526.2446483,726023.3405
1959,"unknown class",55538.1021722981,96857534.0528629
1960,"artisanal fishing gear",575.8242544896,3789451.39551166
1960,"bagnets",1347.8962551602,1532472.6979376
1960,"bottom trawl",392474.101497576,692032060.412922
1960,"cast nets",78.8229498,1526135.06405627
1960,"dredge",468452.02204125,2300692779.97253
1960,"gillnet",16980.7899304706,28696145.9597702
1960,"hand lines",3574.9784408134,5896953.87287362
1960,"hand or tools",171770.70117591,1337849549.90126
1960,"harpoon",693.7372125601,3427795.45986408
1960,"lines",11036.0496667359,12951481.3263101
1960,"longline",7599.7803600823,10844414.6083034
1960,"mixed gear",32258.176654,1830699.618508
1960,"other industrial",200.8031564224,218052.601901267
1960,"other nets",1899.1726914681,13377331.2257264
1960,"pole and line",2388.4675345591,3055175.45499425
1960,"pots or traps",119679.035342545,194728954.47912
1960,"purse seine",620906.603519065,32530272.4816901
1960,"shrimp trawl",62678.545141381,0
1960,"small scale lines",17.656743217,5.26502928186707
1960,"small scale trammel net",31.9320174594,55390.6863876978
1960,"trammel nets",63.7251400802,330734.586779039
1960,"unknown by source",526.2446483,697569.4305
1960,"unknown class",57712.6934701389,106393575.36786
1961,"artisanal fishing gear",485.6447686078,3171108.02731655
1961,"bagnets",1351.1825289998,1872964.53630884
1961,"bottom trawl",452057.789642565,602334903.902243
1961,"cast nets",21.3369676801,361854.727980989
1961,"dredge",504341.467228766,2804352101.41975
1961,"gillnet",18614.1876657498,31220296.6793192
1961,"hand lines",2615.6899394023,5418633.92217819
1961,"hand or tools",151824.069653833,1243859315.37215
1961,"harpoon",596.9111962801,3058351.52301059
1961,"lines",12584.4439018447,13181014.7549013
1961,"longline",7303.7636297878,10058028.0877824
1961,"mixed gear",26862.602024,1732396.0696
1961,"other industrial",217.4372673135,201818.515111775
1961,"other nets",2209.5648312171,12923869.0565921
1961,"pole and line",2281.0453643251,3333993.23739376
1961,"pots or traps",96453.0690351068,183356067.138778
1961,"purse seine",646250.533635645,24994579.0464546
1961,"shrimp trawl",39803.577406164,0
1961,"small scale lines",17.29092704,5.50535541798464
1961,"small scale trammel net",39.9700419003,76705.7820313893
1961,"trammel nets",79.2039670799,627551.692917801
1961,"unknown by source",736.74250762,926979.4723
1961,"unknown class",59067.794278684,108295308.720304
1962,"artisanal fishing gear",402.1890620967,3042830.1962189
1962,"bagnets",1868.5563684801,2842451.08751347
1962,"bottom trawl",762251.681452504,787674704.217782
1962,"cast nets",36.7681675201,757903.935864343
1962,"dredge",469215.54772927,2446425989.18845
1962,"gillnet",19652.012287758,32743509.7861505
1962,"hand lines",160.6540831603,296576.11661225
1962,"hand or tools",126001.115780922,962258506.565499
1962,"harpoon",506.56247376,2977794.65503557
1962,"lines",15133.3444395378,19304980.5998467
1962,"longline",6662.1030305583,10595064.9191827
1962,"mixed gear",19728.3287307,1180577
1962,"other industrial",191.2145140931,213325.646392184
1962,"other nets",2479.6841018302,17265641.6018264
1962,"pole and line",1470.0026887537,2544076.54830189
1962,"pots or traps",119213.287636971,193661563.027656
1962,"purse seine",674532.1456635,34150288.3607341
1962,"shrimp trawl",52497.85868086,0
1962,"small scale lines",22.4113624953,7.58124412301134
1962,"small scale trammel net",34.9256440962,65560.0232821869
1962,"trammel nets",72.3456560401,764767.051596089
1962,"unknown by source",1052.4892966,900582.7
1962,"unknown class",62769.8623130581,106968065.229297
1963,"artisanal fishing gear",219,1048681.73892464
1963,"bagnets",1033.79513496,2572363.99157114
1963,"bottom trawl",986518.762118099,685923168.270832
1963,"cast nets",15.2406912,282996.312661242
1963,"dredge",418243.400944801,2018695128.98321
1963,"gillnet",17837.1318998265,29056671.6304724
1963,"hand lines",160,263698.049
1963,"hand or tools",138166.603184905,856146561.564539
1963,"harpoon",339.3911421601,1090817.08913983
1963,"lines",12048.0960118815,17301636.0384552
1963,"longline",10258.622438307,17915217.4833885
1963,"mixed gear",20738.5162424,773801.7
1963,"other industrial",203.7292355995,247947.919019965
1963,"other nets",2493.0085882701,16330338.929128
1963,"pelagic trawl",0.1415785765,241.495300685875
1963,"pole and line",1849.0783690924,2570269.14574122
1963,"pots or traps",112521.321958139,204498076.622727
1963,"purse seine",473827.0329844,37365565.7921149
1963,"shrimp trawl",31130.076225087,0
1963,"small scale lines",25,9.29655805
1963,"small scale trammel net",31,53222.699
1963,"trammel nets",18.05069364,181838.964302813
1963,"unknown by source",947.24036694,933398.1
1963,"unknown class",67027.2624305247,111029898.749373
1964,"artisanal fishing gear",127.5187414292,673451.206381909
1964,"bagnets",1706.7454735498,4759845.73222237
1964,"bottom trawl",1089922.78413197,552389739.351305
1964,"cast nets",28.6715503201,646348.852187859
1964,"dredge",413699.939181032,2267142450.86661
1964,"gillnet",16575.681342008,26464834.3370902
1964,"hand lines",3206.712278509,6075664.19657646
1964,"hand or tools",142515.584147337,893292152.163549
1964,"harpoon",256.2498377691,907987.788490215
1964,"lines",11563.403358517,14958304.8231443
1964,"longline",8970.5850080409,17454033.408022
1964,"mixed gear",26428.8964744,1316611.2
1964,"other industrial",220.8599570888,232069.815275653
1964,"other nets",3648.6087274482,12624726.7141301
1964,"pelagic trawl",4.19779203,4735.80998150207
1964,"pole and line",1322.564879261,1474931.01942925
1964,"pots or traps",105657.117643171,228181321.258112
1964,"purse seine",344037.115197182,35403229.4848819
1964,"shrimp trawl",48787.8512478619,238162573.904828
1964,"small scale lines",20,7.68254882
1964,"small scale trammel net",11.8825141964,20072.3707510384
1964,"trammel nets",47.5319056801,257420.019334531
1964,"unknown by source",1157.73822626,1010720.92
1964,"unknown class",67531.9379837624,114744912.62979
1965,"artisanal fishing gear",166,847756.430787543
1965,"bagnets",1179.2084747837,5372602.2598114
1965,"bottom trawl",1232713.79034151,726246516.107167
1965,"cast nets",47.4842785201,1441894.96781717
1965,"dredge",430201.506266086,2493266739.76339
1965,"gillnet",21321.8177572435,36157143.5843968
1965,"hand lines",3439.2384194478,8146908.060404
1965,"hand or tools",160592.391385716,1146726900.37867
1965,"harpoon",326.4927546873,1238193.8901892
1965,"lines",11952.2496101671,16314071.071598
1965,"longline",10626.0513635585,20405804.5650174
1965,"mixed gear",26700.7813092,2071067.394
1965,"other industrial",340.8359459376,479831.133406002
1965,"other nets",3267.5040030922,10423301.6862388
1965,"pelagic trawl",2.1377154793,2979.63842456411
1965,"pole and line",2023.6600001194,2555871.12775399
1965,"pots or traps",126541.423429765,249730786.660702
1965,"purse seine",358408.83157705,23487345.449191
1965,"shrimp trawl",71751.9239586421,412309054.881631
1965,"small scale lines",21,8.149442427
1965,"small scale trammel net",43,87688.0115004921
1965,"unknown by source",736.74250762,755167
1965,"unknown class",72070.463909632,116516798.225193
1966,"artisanal fishing gear",126,678185.677761394
1966,"bagnets",1173.6761038799,10418864.4196572
1966,"bottom trawl",1289724.81047876,760192561.027218
1966,"cast nets",34.3868095201,1055317.84599378
1966,"dredge",410106.945170169,2011768275.74771
1966,"gillnet",19611.0104479383,34603546.425129
1966,"hand lines",3556.987473136,7372286.19125238
1966,"hand or tools",180329.033601394,1264654185.33764
1966,"harpoon",141.2621565598,644056.510920583
1966,"lines",11479.5895782097,13465367.5141928
1966,"longline",15328.3437188518,22618153.7213926
1966,"mixed gear",21075.9097588875,1892866.48031001
1966,"other industrial",346.2383574588,523959.962511436
1966,"other nets",2555.8743083159,2617555.27169591
1966,"pelagic trawl",989.4387195362,289593.396637278
1966,"pole and line",4643.4349236631,8913505.91151718
1966,"pots or traps",110970.070604779,246873470.766977
1966,"purse seine",277414.283577316,22028034.7283967
1966,"shrimp trawl",57015.5686642019,374502738.638411
1966,"small scale lines",15,7.206430275
1966,"small scale trammel net",51,103307.019
1966,"trammel nets",130.97469,845604.049456505
1966,"unknown by source",420.99571864,446304.4
1966,"unknown class",77860.9812500396,122937601.102578
1967,"artisanal fishing gear",110.6849882173,481306.030595144
1967,"bagnets",1105.5216379202,5687602.36264981
1967,"bottom trawl",1010012.08976595,543851356.104549
1967,"cast nets",19.9081528799,501622.332181239
1967,"dredge",342593.136413077,2046406822.23563
1967,"gillnet",17069.6770442865,31674274.7482504
1967,"hand lines",3670.1968593216,8091048.6858251
1967,"hand or tools",196034.477682248,1358440987.90179
1967,"harpoon",263.4734491204,1078283.55331102
1967,"lines",8526.8693038922,11646923.4468915
1967,"longline",29262.2108700994,30666272.9977215
1967,"mixed gear",14764.7078618875,1294392.79535909
1967,"other industrial",903.6165017916,1160863.50312287
1967,"other nets",2364.7389503321,1428193.22950382
1967,"pelagic trawl",46532.7927812356,10307704.3437355
1967,"pole and line",1251.8562114972,1989838.28526528
1967,"pots or traps",101458.634922429,232640823.672492
1967,"purse seine",258969.043487035,25722917.5869696
1967,"shrimp trawl",56658.7340652296,403415065.704974
1967,"small scale lines",25,12.562761775
1967,"small scale trammel net",26.2595841885,45062.2385575656
1967,"trammel nets",177.0301537198,1060967.47390031
1967,"unknown by source",17.1373050788,17912.1645149554
1967,"unknown class",82309.4152060838,126158876.683786
1968,"artisanal fishing gear",63.997231551,142389.540544456
1968,"bagnets",699.59535324,6380046.98080656
1968,"bottom trawl",998876.351899926,526017529.047594
1968,"cast nets",18.4317109201,635974.952979786
1968,"dredge",372878.15935276,2983691714.74103
1968,"gillnet",24106.5783990146,31650135.4813847
1968,"hand lines",3812.6983977282,8933966.50663136
1968,"hand or tools",196197.82030181,1239238760.34678
1968,"harpoon",228.08646924,984938.073488793
1968,"lines",5481.255132534,9917019.66551991
1968,"longline",60791.0835242499,38953995.0665839
1968,"mixed gear",13795.3079329675,927887.045781101
1968,"other",0.8799073782,7537.80655784026
1968,"other industrial",725.7838533192,902773.561235075
1968,"other nets",2617.798892702,2170403.9401691
1968,"pelagic trawl",124900.779823811,31231065.5492758
1968,"pole and line",1483.5543363922,2778060.14105019
1968,"pots or traps",95098.9295449018,256679027.981368
1968,"purse seine",310111.481704158,24327598.6792349
1968,"shrimp trawl",68717.195097826,636363975.929305
1968,"small scale lines",25,15.173921075
1968,"small scale trammel net",1.7536993118,2940.98470665154
1968,"trammel nets",143.16724296,1052261.44728049
1968,"unknown class",84473.021099056,135767031.746179
1969,"artisanal fishing gear",32.5027269035,83800.7098613073
1969,"bagnets",1347.7533736801,8818166.49019499
1969,"bottom trawl",1236564.0373247,595583481.08011
1969,"cast nets",0.2381358,298.2081045321
1969,"dredge",363995.886267044,2362101666.83657
1969,"gillnet",17130.0060863724,30513597.845614
1969,"hand lines",3214.2682570969,8256574.78074056
1969,"hand or tools",187713.376115213,1139281642.13267
1969,"harpoon",187.2223659601,823768.496919554
1969,"lines",7798.016587303,13712657.9791335
1969,"longline",89583.3065952128,47109925.380241
1969,"mixed gear",5945.8467630875,1034582.05337011
1969,"other",0.0474820144,396.272125346465
1969,"other industrial",882.3694521818,1454356.62873422
1969,"other nets",2066.0861362981,3051652.91562891
1969,"pelagic trawl",121267.514684536,36577918.3260718
1969,"pole and line",1669.225509072,3342125.089326
1969,"pots or traps",98430.2219686134,269399118.198447
1969,"purse seine",213768.064510676,18595406.5821568
1969,"shrimp trawl",82716.9511216149,952641792.257786
1969,"small scale lines",27,21.860259615
1969,"small scale trammel net",1.4626326059,2561.17939043105
1969,"trammel nets",80.9661720002,730559.082512064
1969,"unknown class",92161.8769592932,139117291.307399
1970,"artisanal fishing gear",72,152110.08
1970,"bagnets",873.1487242799,3170372.9717721
1970,"bottom trawl",670956.788754877,585696475.704082
1970,"cast nets",0.8096617201,953.967099033297
1970,"dredge",402969.37801593,2681263366.42885
1970,"gillnet",18136.6716155157,28744958.5342607
1970,"hand lines",3584.7476641169,8990429.97464215
1970,"hand or tools",199525.998840224,1169886224.69096
1970,"harpoon",221.7044298,946304.228271914
1970,"lines",8434.5539600798,9853136.1686414
1970,"longline",161490.734645018,110301802.611454
1970,"mixed gear",5511.348648875,198597.218635047
1970,"other industrial",710.6175487188,777553.519429507
1970,"other nets",1064.9502963341,2749345.70171587
1970,"pelagic trawl",109418.191534251,45345724.8578286
1970,"pole and line",2548.6587026015,4436666.49698721
1970,"pots or traps",103303.207651541,268200743.465022
1970,"purse seine",315222.349188222,25888080.7140321
1970,"shrimp trawl",67861.5661008252,710995001.98367
1970,"small scale lines",25,23.767542025
1970,"trammel nets",63.105987,624973.742401006
1970,"unknown by source",1316.1064435666,2365752.8816845
1970,"unknown class",92473.0246166795,134367454.295391
1971,"artisanal fishing gear",166,401363.93
1971,"bagnets",777.2276240402,3865673.66415178
1971,"bottom trawl",980651.318038087,599282657.264309
1971,"cast nets",5.0008517999,7191.95405356022
1971,"dredge",384663.388972835,2802786073.51757
1971,"gillnet",20177.2847294647,24144906.3423643
1971,"hand lines",2888.0518005351,7482981.10055727
1971,"hand or tools",192862.263190562,1085116087.53802
1971,"harpoon",267.6170120401,943495.735902102
1971,"lines",7063.0927205048,9118633.74969288
1971,"longline",257837.529630864,116219422.015158
1971,"mixed gear",5602.9114175561,10851.5583856275
1971,"other",0.0753059304,641.968135018272
1971,"other industrial",631.1136160032,941997.294813712
1971,"other nets",1369.4741051,1279561.94763501
1971,"pelagic trawl",140236.69915116,63730640.1992977
1971,"pole and line",1080.6407984823,2630103.7807176
1971,"pots or traps",93209.9757142807,298679396.621972
1971,"purse seine",307256.043808816,24123089.1522948
1971,"shrimp trawl",91235.516864711,805550263.337373
1971,"small scale lines",20,23.68154172
1971,"trammel nets",114.0670482001,638520.347986912
1971,"unknown by source",874.7425745991,1471836.39955845
1971,"unknown class",97392.260765918,152374032.34725
1972,"artisanal fishing gear",160,366022.88
1972,"bagnets",849.04938132,3068789.64717892
1972,"bottom trawl",1031368.32169484,640073249.522765
1972,"cast nets",2.0003407201,2485.4386582593
1972,"dredge",391890.575109489,3344820758.96244
1972,"gillnet",18153.2824702104,30120575.2400345
1972,"hand lines",3453.5725276967,9685501.74530168
1972,"hand or tools",203019.236390794,1266858222.48335
1972,"harpoon",441.21801024,3990298.04153097
1972,"lines",6822.9527511424,9621187.41866033
1972,"longline",283564.78688619,190437111.236424
1972,"mixed gear",5634.0140818167,3226.23260475586
1972,"other industrial",497.2980049529,938574.850544857
1972,"other nets",1306.7180392823,1082826.14237741
1972,"pelagic trawl",152181.927588139,100321239.794972
1972,"pole and line",932.6399015791,2153200.70447919
1972,"pots or traps",93435.9586953942,377190924.590569
1972,"purse seine",435784.919905496,25872022.0049796
1972,"shrimp trawl",76918.661225384,808311606.902096
1972,"small scale lines",15,21.499374135
1972,"unknown by source",266.6971264288,487767.306925672
1972,"unknown class",106306.958226913,182483965.848013
1973,"artisanal fishing gear",86,354016.42
1973,"bagnets",840.4288653598,5283702.01119914
1973,"bottom trawl",979186.572979097,764783665.432522
1973,"cast nets",3.0957654,4108.99670644174
1973,"dredge",415489.670220352,3125165792.66202
1973,"gillnet",20503.7821281798,36825746.0859876
1973,"hand lines",4175.8884520151,13076649.4563132
1973,"hand or tools",215650.36543223,1469122184.86572
1973,"harpoon",300.8131425598,3457262.58759176
1973,"lines",5321.4447491491,10376231.4239074
1973,"longline",279046.300589176,258398670.939383
1973,"mixed gear",3130.3381767,0
1973,"other",0.061618091,618.653052091481
1973,"other industrial",367.7691675578,795647.666615704
1973,"other nets",1493.950693768,1111062.70719421
1973,"pelagic trawl",162566.09833109,173471912.661538
1973,"pole and line",305.1141015316,1249715.38825623
1973,"pots or traps",92383.395778387,388439989.700148
1973,"purse seine",411662.77885316,38066957.3111157
1973,"shrimp trawl",73325.127634762,844086636.511136
1973,"small scale lines",12,27.185510904
1973,"trammel nets",23.1467997601,241227.680615608
1973,"unknown by source",346.8419108832,941819.824667014
1973,"unknown class",112232.671057852,201166500.931269
1974,"artisanal fishing gear",71.0508607562,335085.87749766
1974,"bagnets",899.5817980801,5075438.5207467
1974,"bottom trawl",761933.751960782,628774877.216388
1974,"cast nets",1.6669506,2287.77457106312
1974,"dredge",483715.41253602,2939388823.61796
1974,"gillnet",19403.9450766486,32277091.3385096
1974,"hand lines",3477.3997046782,10493251.9788879
1974,"hand or tools",214687.263579585,1399735751.33973
1974,"harpoon",776.3703351603,7245332.30221071
1974,"lines",6152.2519381639,11470804.0240784
1974,"longline",223309.741521522,248582436.811076
1974,"mixed gear",5827.3254816,0
1974,"other",2.2219140083,22306.9084441201
1974,"other industrial",146.930010669,272915.958737402
1974,"other nets",1770.0564453277,1141154.40149175
1974,"pelagic trawl",114599.596194661,150343814.596456
1974,"pole and line",2504.5644584284,11810625.4712433
1974,"pots or traps",100254.047453918,359198608.572119
1974,"purse seine",361835.024903651,27628678.2475639
1974,"shrimp trawl",77863.0120103581,787586617.180028
1974,"small scale lines",10,29.45780012
1974,"trammel nets",23.6230713601,205063.021979216
1974,"unknown by source",0.9294377304,2527.85351981195
1974,"unknown class",116456.810671618,197385420.697266
1975,"artisanal fishing gear",77.4683471467,296924.631829438
1975,"bagnets",845.0010727331,2443670.92799369
