"year","gear_type","tonnes","landed_value"
1950,"artisanal fishing gear",448.9232412874,3525815.04164714
1950,"bagnets",1851.6963532502,2011861.54937517
1950,"bottom trawl",416010.755818196,538917162.899448
1950,"cast nets",30.4337552399,78543.4363422011
1950,"dredge",519405.490696032,3702002835.91365
1950,"gillnet",19652.3415247461,42812471.6187522
1950,"hand lines",4818.8631693925,9411969.0276952
1950,"hand or tools",218823.78178551,1287749482.07869
1950,"harpoon",654.01616112,4300212.34983371
1950,"lines",19147.4290003122,21724023.2800932
1950,"longline",11038.9032387172,14941610.0858419
1950,"mixed gear",4020.98228218,0
1950,"other industrial",75.4712895687,82721.7094592534
1950,"other nets",5577.7924094651,16737362.1409816
1950,"pole and line",37.8485581335,78590.1300409087
1950,"pots or traps",127125.868914256,178423024.78909
1950,"purse seine",395719.488711446,49945946.466996
1950,"shrimp trawl",73829.003933111,0
1950,"small scale lines",9.1055358828,1.33035506893857
1950,"small scale trammel net",24.2703099051,52643.7327750076
1950,"trammel nets",55.5332685603,249422.799167599
1950,"unknown by source",15.9841752664,38040.1469697532
1950,"unknown class",30151.4188593614,66249229.6673203
1951,"artisanal fishing gear",201.7278079149,1749329.026167
1951,"bagnets",2284.745686368,2329397.62764412
1951,"bottom trawl",450849.392671516,586264212.337682
1951,"cast nets",193.9377955211,581460.868150579
1951,"dredge",499923.579426611,3369777766.43809
1951,"gillnet",20089.7180419047,42122038.8602321
1951,"hand lines",4240.0933649358,10070944.2888584
1951,"hand or tools",209990.397614649,1239083045.40267
1951,"harpoon",260.3776837197,1338199.42764456
1951,"lines",16725.8109619906,19599357.8293064
1951,"longline",10070.2915906711,14906706.5925808
1951,"mixed gear",9414.27711991,0
1951,"other industrial",95.8258436126,92288.2251912691
1951,"other nets",2768.739590544,10891623.0598969
1951,"pole and line",0.9964987049,1607.0675250296
1951,"pots or traps",109877.632989776,174384733.996492
1951,"purse seine",388778.939261047,43437763.8994538
1951,"shrimp trawl",55702.70218457,0
1951,"small scale lines",5.3444268826,1.16978042267425
1951,"small scale trammel net",3.0480707763,6947.9357851905
1951,"trammel nets",233.6588469608,1328322.75062886
1951,"unknown by source",15.0479495492,56895.7568655349
1951,"unknown class",31922.6574691303,73523761.4685267
1952,"artisanal fishing gear",244.7833505066,1231519.50747976
1952,"bagnets",1230.400051441,1303823.96179667
1952,"bottom trawl",426192.910774631,528159119.32534
1952,"cast nets",108.7328062801,301813.11720963
1952,"dredge",530294.342604962,3726958456.72429
1952,"gillnet",22789.350007353,48428473.7628375
1952,"hand lines",4337.9277734038,10619145.4092047
1952,"hand or tools",201865.520735597,1208667819.38469
1952,"harpoon",301.194159842,1256054.83398821
1952,"lines",16040.5437056682,17523873.0663628
1952,"longline",9024.9722752509,12644806.8341216
1952,"mixed gear",5526.738752799,0
1952,"other industrial",72.3311936643,100085.872749012
1952,"other nets",2611.005346046,14277481.8664825
1952,"pole and line",788.5850531298,1398758.82909725
1952,"pots or traps",104761.154261829,176302403.318528
1952,"purse seine",497556.257180641,37869473.6137202
1952,"shrimp trawl",51760.256849583,0
1952,"small scale lines",7.9645409749,1.62871803755894
1952,"small scale trammel net",61.8682838277,144498.091432505
1952,"trammel nets",226.5147729599,1176272.9819766
1952,"unknown by source",14.432277216,57427.0770307931
1952,"unknown class",33752.8059438436,76204340.5375575
1953,"artisanal fishing gear",648.8436004847,3485953.73686506
1953,"bagnets",1514.1626707298,1656210.42257358
1953,"bottom trawl",386871.704816078,445512494.573307
1953,"cast nets",38.9590168799,69722.783972468
1953,"dredge",566224.153923657,3368110864.95114
1953,"gillnet",19924.1753498176,38366752.4142702
1953,"hand lines",2705.7395367535,6876210.60453831
1953,"hand or tools",199564.328780614,1156353986.34252
1953,"harpoon",264.9498910819,1094771.57915968
1953,"lines",16996.6138315835,19042911.1274506
1953,"longline",5929.6869634449,7897867.61125072
1953,"mixed gear",5571.167949277,0
1953,"other industrial",74.4353816415,87148.1417529733
1953,"other nets",3587.7438867262,18842987.9059545
1953,"pole and line",219.8208470645,411850.206814672
1953,"pots or traps",116370.244838345,179594180.021616
1953,"purse seine",627125.748329552,30372608.9937319
1953,"shrimp trawl",66662.283217874,0
1953,"small scale lines",7.47926865,1.48194259696594
1953,"small scale trammel net",50.961803423,105535.989591027
1953,"trammel nets",46.1983451999,223178.961577111
1953,"unknown by source",210.49785932,416837.2268
1953,"unknown class",36404.3659920332,72964737.1242818
1954,"artisanal fishing gear",854.8599577137,3721016.2546755
1954,"bagnets",926.6340249601,991242.095965432
1954,"bottom trawl",434058.707141318,668991800.74931
1954,"cast nets",16.7171331599,32169.2019769089
1954,"dredge",501059.405436381,3389924691.74674
1954,"gillnet",17267.2306589348,35695666.7094817
1954,"hand lines",2891.8168979497,6600129.92320904
1954,"hand or tools",208460.958421736,1436882727.11373
1954,"harpoon",271.5224391621,1136964.49757437
1954,"lines",13351.3539783443,14913284.5007317
1954,"longline",3830.160579412,4542686.58442488
1954,"mixed gear",4506.78675671,0
1954,"other industrial",83.2104486151,95790.8447780531
1954,"other nets",2683.6008119074,12759306.7161774
1954,"pole and line",243.6430772835,497520.612770891
1954,"pots or traps",113059.822490852,171849380.606768
1954,"purse seine",674368.555347529,24460970.3642551
1954,"shrimp trawl",57981.495092795,0
1954,"small scale lines",7.8899557863,1.59339174342036
1954,"small scale trammel net",80.5887627994,205298.727253936
1954,"trammel nets",1.9050864,25852.9164729604
1954,"unknown by source",210.49785932,200492.0584
1954,"unknown class",38765.6253481257,83570559.4212457
1955,"artisanal fishing gear",669.1426937808,2688795.27081881
1955,"bagnets",799.1837448,1011315.96444891
1955,"bottom trawl",437320.512822356,642494355.318278
1955,"cast nets",27.67137996,122973.220473008
1955,"dredge",512161.343943009,3361287047.96411
1955,"gillnet",17288.7544591951,33017438.8456131
1955,"hand lines",2184.7609544271,5117047.09315073
1955,"hand or tools",184989.385990839,1233626368.4343
1955,"harpoon",303.289754881,1213662.44410018
1955,"lines",13841.7064904081,18028345.2251429
1955,"longline",4573.4235125643,5534607.68853596
1955,"mixed gear",4777.31558498,0
1955,"other industrial",140.5869938066,101121.097535584
1955,"other nets",36457.950367221,14553563.0294451
1955,"pole and line",904.5429359933,1656862.29215362
1955,"pots or traps",98843.9918091312,171591098.71195
1955,"purse seine",664419.659323717,18348392.6694048
1955,"shrimp trawl",57745.073872105,0
1955,"small scale lines",13.2195753575,2.63869573197507
1955,"small scale trammel net",155.3085422015,342176.929020289
1955,"trammel nets",335.3428335608,1311468.54026671
