YEAR,SSP1_v9_130219,SSP2_v9_130219,SSP3_v9_130219,SSP4_v9_130219,SSP5_v9_130219
2010,6726.181744083568,6726.181744083568,6726.181744083568,6726.181744083568,6726.181744083568
2015,7056.796105255093,7090.907910100487,7114.027091194222,7084.003609986118,7059.436301
2020,7354.049886189545,7445.333370711549,7517.285995906206,7431.757505414481,7362.538684630072
2025,7610.358358187554,7774.447435568027,7915.579678092671,7751.6089357017445,7627.877034772144
2030,7818.9206767149235,8072.4208732352035,8304.432580548602,8038.538853557828,7848.713465472281
2035,7994.076181979664,8339.945772393345,8669.232354458358,8295.108245460438,8037.338214149331
2040,8128.950036278397,8575.203065,9019.611827707547,8521.641022525313,8187.685943202156
2045,8218.337265255293,8775.494642416324,9360.919932574718,8717.383340443488,8295.795882481563
2050,8259.591781235635,8936.535621170136,9691.665373279184,8879.398227542768,8360.004247
2055,8257.928746962843,9055.639206949849,9998.927922627727,9003.310891674897,8384.894730550059
2060,8216.041746401545,9134.119942,10282.066014292548,9089.451790489113,8372.793061766359
2065,8136.784982987335,9177.112810191922,10546.761168830197,9141.846702224688,8325.953262132802
2070,8022.511735514755,9189.704485823893,10800.535699730981,9166.352198882852,8246.562956874677
2075,7875.054874743442,9172.868678517367,11048.891351380395,9167.923878723248,8136.8716290608445
2080,7695.684612438767,9127.688208677233,11293.02655906729,9148.865651282977,7998.4363241300025
2085,7485.105526049305,9057.025105555189,11533.99977725096,9113.530430380388,7831.663407074219
2090,7247.893058461041,8966.18116,11771.17476527237,9064.599276,7640.514426620682
2095,6988.183237435347,8859.622456,12006.11122735639,9007.752003697648,7428.514360158385
2100,6708.019667763088,8740.499904967743,12236.131335824226,8943.895135620689,7197.381638773149
