"H","F","dhdt","dfdt","Y"
0,0,0.1,20,0
0.1,0,0.1,19,1
0.2,0,0.1,18,2
0.3,0,0.1,17,3
0.4,0,0.1,16,4
0.5,0,0.1,15,5
0.6,0,0.1,14,6
0.7,0,0.1,13,7
0.8,0,0.1,12,8
0.9,0,0.1,11,9
1,0,0,10,10
0,5,0.05,20,0
0.1,5,0.05,18.5,1.5
0.2,5,0.05,17,3
0.3,5,0.05,15.5,4.5
0.4,5,0.05,14,6
0.5,5,0.05,12.5,7.5
0.6,5,0.05,11,9
0.7,5,0.05,9.5,10.5
0.8,5,0.05,8,12
0.9,5,0.05,6.5,13.5
1,5,-0.05,5,15
0,10,0,20,0
0.1,10,0,18,2
0.2,10,0,16,4
0.3,10,0,14,6
0.4,10,0,12,8
0.5,10,0,10,10
0.6,10,0,8,12
0.7,10,0,6,14
0.8,10,0,4,16
0.9,10,0,2,18
1,10,-0.1,0,20
0,15,-0.05,20,0
0.1,15,-0.05,17.5,2.5
0.2,15,-0.05,15,5
0.3,15,-0.05,12.5,7.5
0.4,15,-0.05,10,10
0.5,15,-0.05,7.5,12.5
0.6,15,-0.05,5,15
0.7,15,-0.05,2.5,17.5
0.8,15,-0.05,0,20
0.9,15,-0.05,-2.5,22.5
1,15,-0.15,-5,25
0,20,-0.1,20,0
0.1,20,-0.1,17,3
0.2,20,-0.1,14,6
0.3,20,-0.1,11,9
0.4,20,-0.1,8,12
0.5,20,-0.1,5,15
0.6,20,-0.1,2,18
0.7,20,-0.1,-1,21
0.8,20,-0.1,-4,24
0.9,20,-0.1,-7,27
1,20,-0.2,-10,30
0,25,-0.15,20,0
0.1,25,-0.15,16.5,3.5
0.2,25,-0.15,13,7
0.3,25,-0.15,9.5,10.5
0.4,25,-0.15,6,14
0.5,25,-0.15,2.5,17.5
0.6,25,-0.15,-1,21
0.7,25,-0.15,-4.5,24.5
0.8,25,-0.15,-8,28
0.9,25,-0.15,-11.5,31.5
1,25,-0.25,-15,35
0,30,-0.2,20,0
0.1,30,-0.2,16,4
0.2,30,-0.2,12,8
0.3,30,-0.2,8,12
0.4,30,-0.2,4,16
0.5,30,-0.2,0,20
0.6,30,-0.2,-4,24
0.7,30,-0.2,-8,28
0.8,30,-0.2,-12,32
0.9,30,-0.2,-16,36
1,30,-0.3,-20,40
0,35,-0.25,20,0
0.1,35,-0.25,15.5,4.5
0.2,35,-0.25,11,9
0.3,35,-0.25,6.5,13.5
0.4,35,-0.25,2,18
0.5,35,-0.25,-2.5,22.5
0.6,35,-0.25,-7,27
0.7,35,-0.25,-11.5,31.5
0.8,35,-0.25,-16,36
0.9,35,-0.25,-20.5,40.5
1,35,-0.35,-25,45
0,40,-0.3,20,0
0.1,40,-0.3,15,5
0.2,40,-0.3,10,10
0.3,40,-0.3,5,15
0.4,40,-0.3,0,20
0.5,40,-0.3,-5,25
0.6,40,-0.3,-10,30
0.7,40,-0.3,-15,35
0.8,40,-0.3,-20,40
0.9,40,-0.3,-25,45
1,40,-0.4,-30,50
0,45,-0.35,20,0
0.1,45,-0.35,14.5,5.5
0.2,45,-0.35,9,11
